Vehicle and Type,Region,CO2,CO2 - Biomass Fuel,CO2 Unit - Numerator,CO2 Unit - Denominator,CH4,CH4 Unit - Numerator,CH4 Unit - Denominator,N2O,N2O Unit - Numerator,N2O Unit - Denominator,Default Scope,Mode of Transport,,,,,,,,,,,,
Air - Short Haul - Economy Class,US,0.09245,,Kilogram,Passenger Kilometer,,,,,,,Scope 3,Air,,,,,,,,,,,,
Air - Short Haul - First/Business Class,US,0.13867,,Kilogram,Passenger Kilometer,,,,,,,Scope 3,Air,,,,,,,,,,,,
Air - Long Haul - Seating Unknown,US,0.11319,,Kilogram,Passenger Kilometer,,,,,,,Scope 3,Air,,,,,,,,,,,,
Air - Long Haul - Economy Class,US,0.08263,,Kilogram,Passenger Kilometer,,,,,,,Scope 3,Air,,,,,,,,,,,,
Air - Long Haul - Economy+ Class,US,0.13221,,Kilogram,Passenger Kilometer,,,,,,,Scope 3,Air,,,,,,,,,,,,
Air - Long Haul - Business Class,US,0.23963,,Kilogram,Passenger Kilometer,,,,,,,Scope 3,Air,,,,,,,,,,,,
Air - Long Haul - First Class,US,0.33052,,Kilogram,Passenger Kilometer,,,,,,,Scope 3,Air,,,,,,,,,,,,
Train - Light Rail,US,0.163,,Kilogram,Passenger Mile,0.004,Gram,Passenger Mile,0.002,Gram,Passenger Mile,Scope 3,Rail,,,,,,,,,,,,
Train - Tram,US,0.163,,Kilogram,Passenger Mile,0.004,Gram,Passenger Mile,0.002,Gram,Passenger Mile,Scope 3,Rail,,,,,,,,,,,,
Train - Average (Light Rail and Tram),US,0.163,,Kilogram,Passenger Mile,0.004,Gram,Passenger Mile,0.002,Gram,Passenger Mile,Scope 3,Rail,,,,,,,,,,,,
Train - National Rail,US,0.185,,Kilogram,Passenger Mile,0.002,Gram,Passenger Mile,0.001,Gram,Passenger Mile,Scope 3,Rail,,,,,,,,,,,,
Train - Subway,US,0.163,,Kilogram,Passenger Mile,0.004,Gram,Passenger Mile,0.002,Gram,Passenger Mile,Scope 3,Rail,,,,,,,,,,,,
Taxi,US,0.23,,Kilogram,Passenger Mile,0.02,Gram,Passenger Mile,0.021,Gram,Passenger Mile,Scope 3,Road,,,,,,,,,,,,
Bus - Local Bus,US,0.107,,Kilogram,Passenger Mile,0.0006,Gram,Passenger Mile,0.0005,Gram,Passenger Mile,Scope 3,Road,,,,,,,,,,,,
Bus - Coach,US,0.107,,Kilogram,Passenger Mile,0.0006,Gram,Passenger Mile,0.0005,Gram,Passenger Mile,Scope 3,Road,,,,,,,,,,,,
Bus - Type Unknown,US,0.107,,Kilogram,Passenger Mile,0.0006,Gram,Passenger Mile,0.0005,Gram,Passenger Mile,Scope 3,Road,,,,,,,,,,,,
Large RoPax Ferry,US,0.11516,,Kilogram,Passenger Kilometer,,,,,,,Scope 3,water,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
